Hello,Hello World!
what%20time%20is%20it?,The time is now 7:15 AM EST
Good%20job,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good%20job'>Good job</a>
ok,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=ok'>ok</a>
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
how%20are%20you?,I am a ChatBot running on Python and a dash of artificial intelligence.
What%20is%20your%20name?,ChatBot trained for demo.
i%20see,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=i%20see'>i see</a>
Hello,Hello World!
What%20time,The time is now 4:58 PM EST
how%20do%20you%20know?,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=how%20do%20you%20know?'>how do you know?</a>
Hello,Hello World!
Hello,Hello World!
Hello,Hi there
Hello,Hi there
Hello,Hi there
What%20Date,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What%20Date'>What Date</a>
What%20date%20today?,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What%20date%20today?'>What date today?</a>
date?,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=date?'>date?</a>
what%20day%20is%20it?,"Today is Wednesday, 10/9/2024"
Hello,Hi there
Do%20you%20have%20a%20website?,"<a href=""https://github.com/Prinan-99"">"
Hello,Welcome
do%20you%20have%20a%20website?,"<a href=""https://github.com/Prinan-99"">PROFILE"
How%20do%20you%20look%20like?,"<img src=""https://m.media-amazon.com/images/I/61bR-YqjP2L.jpg"">"
wow,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=wow'>wow</a>
you%20are%20smart.,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you%20are%20smart.'>you are smart.</a>
Hello,Hi there
Hello,Welcome
What%20to%20you%20do?,"<img src=""https://m.media-amazon.com/images/I/61bR-YqjP2L.jpg"">"
How%20are%20you?,I am a Chatbot.
Nice!,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Nice!'>Nice!</a>
Don't%20you%20need%20help?,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Don%27t%20you%20need%20help?'>Don't you need help?</a>
hoW%20DO%20YOU%20WORK?,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hoW%20DO%20YOU%20WORK?'>hoW DO YOU WORK?</a>
What%20are%20you%20doing?,I am a Chatbot.
Hello,Welcome
Hello,Welcome
Who%20is%20your%20creator?,ChatBot trained for demo.
You%20created?,Pria Nandhini
What%20time%20is%20it?,The time is now 6:19 PM EST
What%20day%20today?,"Today is Wednesday, 10/9/2024"
What%20can%20you%20do?,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What%20can%20you%20do?'>What can you do?</a>
How%20do%20you%20look%20like?,"<img src=""https://m.media-amazon.com/images/I/61bR-YqjP2L.jpg"">"
Do%20you%20have%20a%20website?,"<a href=""https://github.com/Prinan-99"">PROFILE"
